Entity,Day,0 or 1 dose,3 doses,2 doses,4 doses
31-40,2022-01-30,0.606843986479516,0,0.36833701363399500,0
31-40,2022-02-06,0.2983987920816900,0.04428874490125830,0.19745285813012100,0
31-40,2022-02-13,0.3088993914681990,0.221825007575324,0.20285621551444300,0
31-40,2022-02-20,0.9358184512204630,0.08835967335195960,0.21168053174149600,0
31-40,2022-02-27,0.6306383005559080,0.04395652699480210,0.877549005627283,0
31-40,2022-03-06,0.9554322694064220,0.04385245578137620,0,0
31-40,2022-03-13,0,0.08747375787263820,0.6958102942813670,0
31-40,2022-03-20,0.6483612668979160,0.17443840645282600,0.4772893781635340,0
31-40,2022-03-27,0.9796366201230420,0.04354431570325590,0.9781170757233790,0.8843453191602260
31-40,2022-04-03,0,0.043648013688017100,0,0
31-40,2022-04-10,0.33085303838887800,0.08789532018946720,0,0
31-40,2022-04-17,0,0.04405072881930830,0.2623948780519800,0
31-40,2022-04-24,0,0.044444780249450800,0,0
31-40,2022-05-01,0.33600795666841400,0,0,0
31-40,2022-05-08,0,0,0,0
31-40,2022-05-15,0.3390037358211690,0,0,0
31-40,2022-05-22,0,0,0,0
31-40,2022-05-29,1.0252204223908100,0.05569107049375700,0,0.1426037156824160
31-40,2022-06-05,0,0.06141332951751850,0,0
31-40,2022-06-12,0,0,0,0.09399282458777100
31-40,2022-06-19,0.3460099858481920,0.07864627735710760,0,0
31-40,2022-06-26,0,0,0.6923721361757520,0.07133308699640620
31-40,2022-07-03,0.6979609072095870,0.18976628384481700,0.7108128856159900,0
31-40,2022-07-10,0.35020872439974200,0,0.36221516305115600,0
31-40,2022-07-17,0,0.2169851647242880,0,0.060701932870946500
31-40,2022-07-24,0.706022726871578,0.11814619173472900,0,0.11560693641618500
31-40,2022-07-31,0,0,0.3850033495291410,0
31-40,2022-08-07,0.35544813123145,0,0,0.053967268851441600
41-50,2021-10-10,1.125346747466560,0,0.04680598311520970,
41-50,2021-10-17,0.5754385561095750,0,0,
41-50,2021-10-24,0.29284377663048100,0,0.05157829585310500,
41-50,2021-10-31,0,0.20432306746134700,0,
41-50,2021-11-07,0.6042223054706290,0,0.06194570211426880,
41-50,2021-11-14,0,0,0.07202561230773660,
41-50,2021-11-21,1.8934433213520400,0,0.16604910238006500,
41-50,2021-11-28,1.610238540737430,0,0.09623722090002970,
41-50,2021-12-05,1.9717772943272000,0.06913908017367740,0.33131818252097800,
41-50,2021-12-12,1.005506825715500,0,0,
41-50,2021-12-19,0.6830204530474670,0,0.5624439313705920,
41-50,2021-12-26,0.6949173743241930,0,0.4676269646177850,
41-50,2022-01-02,0.35416282990267600,0,0.17346384753221700,
41-50,2022-01-09,0.7166249829801570,0,0.9237636347512490,
41-50,2022-01-16,2.257497714283560,0,0.2741724105786680,
41-50,2022-01-23,1.5172722479526300,0.09713962655641970,0,
41-50,2022-01-30,2.67560573802762,0,0.6410831741310120,0
41-50,2022-02-06,1.509587769319890,0.0480282944288139,1.378492756020570,0
41-50,2022-02-13,2.7077418206856000,0.3850233612924460,2.836245803242540,0
41-50,2022-02-20,3.1157137126455100,0.2883431514176390,4.071254353466300,0
41-50,2022-02-27,1.5688981628202500,0.19173249482322300,1.9186419085114800,0
41-50,2022-03-06,2.369144265091450,0.28733058868769900,2.367695167139550,0
41-50,2022-03-13,3.9729047893367200,0.23927852738423100,2.8359714620243200,0
41-50,2022-03-20,1.597986536963430,0.2868119560432000,0.8324246031415700,0
41-50,2022-03-27,1.606122539119120,0.09563635233388560,1.2773132142309700,0
41-50,2022-04-03,0,0.19257572438562300,0.43555524582738100,0.9859988168014200
41-50,2022-04-10,1.2142946769369000,0.0975423236142162,0.4450853673734620,0
41-50,2022-04-17,0.8127207044663070,0,1.3640517794055500,0
41-50,2022-04-24,0.4078037322197570,0.10033562265779000,0,0
41-50,2022-05-01,0,0.0517669349056677,0,0
41-50,2022-05-08,0,0.055984239316947500,0,0
41-50,2022-05-15,0.4109375128417970,0.12078979616117900,0,0
41-50,2022-05-22,0,0.19589406049208600,0,0
41-50,2022-05-29,0,0,0,0.117172166923469
41-50,2022-06-05,0,0.084423166054458,0,0
41-50,2022-06-12,0.8304544246611750,0.09826454978622550,1.114286828572540,0
41-50,2022-06-19,0,0.3523078512979020,0,0.28712447707454600
41-50,2022-06-26,0,0,0.6039705020806780,0
41-50,2022-07-03,0,0,0,0
41-50,2022-07-10,0,0,0.6308710436499680,0.18578405204926000
41-50,2022-07-17,1.6813999335847000,0.33122892555961100,0,0.18089757760053800
41-50,2022-07-24,1.2641852115614000,0.537532296732162,0.6541077969649400,0.05855366589863780
41-50,2022-07-31,0.8445197005333140,0.5734734137725380,0.6658011252039020,0.17182288039294700
41-50,2022-08-07,0.4231890681799910,0.40753449779523800,0,0.2245254794320630
51-60,2021-10-10,2.7230705343345200,0,0.12046596234234000,
51-60,2021-10-17,0,0,0.3861637527393490,
51-60,2021-10-24,2.8842756502238900,0,0.13568668316616700,
51-60,2021-10-31,2.9422365411067200,0,0.5265735333610660,
51-60,2021-11-07,3.0110958883485600,0,0.25627116906636100,
51-60,2021-11-14,3.116454098526700,0,0.5292847986230130,
51-60,2021-11-21,7.229728644184890,0.06770338604944650,0.8954143273967360,
51-60,2021-11-28,13.209930565302500,0.0621065549742382,1.9938008131639900,
51-60,2021-12-05,3.40846150568787,0,0.1787013061278470,
51-60,2021-12-12,11.455864080578800,0.05661738312190520,1.191523501808140,
51-60,2021-12-19,14.569029884722600,0.10916661117363900,1.8124396797419100,
51-60,2021-12-26,4.695320643446740,0.05337651849523050,1.2397534378362800,
51-60,2022-01-02,9.7242210898907,0.10457751468399000,1.358751036047670,
51-60,2022-01-09,3.9725496816994600,0.10343630935110800,1.7190499384007100,
51-60,2022-01-16,4.361289197086660,0.14722994225150900,3.150437320080490,
51-60,2022-01-23,6.642605672785250,0.048547860665698000,2.5737265415549600,
51-60,2022-01-30,4.4953922229714500,0.09655366187004170,1.3761467889908300,0
51-60,2022-02-06,16.393800957398000,0.5319048625291880,2.463661000246370,4.809773459670050
